station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,post,address,lon,lat,open_ymd,close_ymd,e_status,e_sort,n,m,k_avg,intersection_count,streets_per_node_avg,streets_per_node_counts,streets_per_node_proportion,edge_length_total,edge_length_avg,street_length_total,street_length_avg,street_segments_count,node_density_km,intersection_density_km,edge_density_km,street_density_km,circuity_avg,self_loop_proportion,clean_intersection_count,clean_intersection_density_km,station_name_roman,cluster_number,geometry,upa,land_use,group_number
1130506,1130506,東所沢,,,11305,11,359-0022,所沢市本郷１丁目,139.513878,35.79461,0000-00-00,0000-00-00,0,1130506,467.0,1397.0,5.982869379014989,444.0,3.137044967880086,"{0: 0, 1: 23, 2: 0, 3: 334, 4: 110}","{0: 0.0, 1: 0.04925053533190578, 2: 0.0, 3: 0.715203426124197, 4: 0.23554603854389722}",97757.60700000022,69.97681245526144,49479.67600000003,70.08452691218135,706.0,210.6351439363042,200.26125033772817,44092.47884649615,22317.256265913707,1.0337707704492065,0.0021474588403722,366.0,165.08021987299216,,3,POINT (139.513878 35.79461),1.0,8.0,3
1130507,1130507,新座,,,11305,11,352-0011,新座市野火止５丁目,139.556328,35.80381,0000-00-00,0000-00-00,0,1130507,508.0,1304.0,5.133858267716535,422.0,2.75984251968504,"{0: 0, 1: 86, 2: 0, 3: 372, 4: 50}","{0: 0.0, 1: 0.16929133858267717, 2: 0.0, 3: 0.7322834645669292, 4: 0.0984251968503937}",86287.41099999989,66.17132745398764,45159.928000000014,67.20227380952383,672.0,212.3069605557712,176.36523101286502,36061.84638511141,18873.5571901525,1.0962467995337029,0.0038343558282208,277.0,115.76580329517444,,3,POINT (139.556328 35.80381),1.0,5.0,3
1130508,1130508,北朝霞,,,11305,11,351-0033,朝霞市浜崎１丁目,139.587322,35.815475,0000-00-00,0000-00-00,0,1130508,616.0,1703.0,5.529220779220779,550.0,2.9756493506493507,"{0: 0, 1: 66, 2: 2, 3: 431, 4: 116, 5: 0, 6: 1}","{0: 0.0, 1: 0.10714285714285714, 2: 0.003246753246753247, 3: 0.6996753246753247, 4: 0.18831168831168832, 5: 0.0, 6: 0.0016233766233766235}",107672.09600000017,63.22495361127432,55288.58499999996,62.89941410693965,879.0,247.44935626063497,220.9369252327098,43252.25786109307,22209.618127940565,1.0584863118035237,0.001174398120963,335.0,134.57067264174142,,1,POINT (139.587322 35.815475),1.0,9.0,2
1130509,1130509,西浦和,,,11305,11,338-0837,さいたま市桜区田島５丁目,139.627707,35.844139,0000-00-00,0000-00-00,0,1130509,669.0,1709.0,5.109118086696562,529.0,2.7279521674140508,"{0: 0, 1: 140, 2: 1, 3: 431, 4: 95, 5: 2}","{0: 0.0, 1: 0.20926756352765322, 2: 0.0014947683109118087, 3: 0.6442451420029895, 4: 0.14200298953662183, 5: 0.0029895366218236174}",99680.768,58.32695611468696,52129.437,59.78146444954128,872.0,278.8266315755464,220.4772617391092,41545.071411514975,21726.56999198753,1.04200494906933,0.0,301.0,125.45114514834002,,1,POINT (139.627707 35.844139),1.0,5.0,2
1130510,1130510,武蔵浦和,,,11305,11,336-0021,さいたま市南区別所七丁目12-1,139.647974,35.846047,0000-00-00,0000-00-00,0,1130510,683.0,1896.0,5.551976573938506,617.0,3.0717423133235724,"{0: 0, 1: 66, 2: 0, 3: 440, 4: 174, 5: 2, 6: 1}","{0: 0.0, 1: 0.09663250366032211, 2: 0.0, 3: 0.6442166910688141, 4: 0.2547584187408492, 5: 0.0029282576866764276, 6: 0.0014641288433382138}",113363.61499999996,59.790936181434574,60074.83799999994,60.13497297297291,999.0,272.66892573640587,246.3202447721265,45257.29885746045,23983.223340041863,1.0109273350918166,0.0,418.0,166.8749794404358,,1,POINT (139.647974 35.846047),1.0,9.0,2
1130511,1130511,南浦和,,,11305,11,336-0017,さいたま市南区南浦和２丁目,139.669125,35.847648,0000-00-00,0000-00-00,0,1130511,753.0,2183.0,5.798140770252324,684.0,3.1102257636122177,"{0: 0, 1: 69, 2: 0, 3: 467, 4: 213, 5: 4}","{0: 0.0, 1: 0.09163346613545817, 2: 0.0, 3: 0.6201859229747676, 4: 0.28286852589641437, 5: 0.005312084993359893}",130577.6520000002,59.81569033440229,67154.03100000005,60.01253887399468,1119.0,300.0980402593929,272.5990166499665,52039.97007552863,26763.337448364586,1.0154781798011046,0.0004580852038479,510.0,203.25365276532588,,2,POINT (139.669125 35.847648),1.0,9.0,1
1130512,1130512,東浦和,,,11305,11,336-0922,さいたま市緑区大牧,139.704627,35.864079,0000-00-00,0000-00-00,0,1130512,542.0,1615.0,5.959409594095941,522.0,3.143911439114391,"{0: 0, 1: 20, 2: 2, 3: 400, 4: 120}","{0: 0.0, 1: 0.03690036900369004, 2: 0.0036900369003690036, 3: 0.7380073800738007, 4: 0.22140221402214022}",103909.4239999997,64.34020061919486,52766.571,64.66491544117648,816.0,250.3711876637856,241.1323984510998,47999.86327737969,24374.96134726101,1.0476613472648706,0.0012383900928792,372.0,171.84147935595618,,1,POINT (139.704627 35.864079),1.0,8.0,2
1130513,1130513,東川口,,,11305,11,333-0811,川口市戸塚１丁目,139.744087,35.875246,0000-00-00,0000-00-00,0,1130513,488.0,1496.0,6.131147540983607,476.0,3.2602459016393444,"{0: 0, 1: 12, 2: 0, 3: 328, 4: 146, 5: 1, 6: 1}","{0: 0.0, 1: 0.02459016393442623, 2: 0.0, 3: 0.6721311475409836, 4: 0.29918032786885246, 5: 0.0020491803278688526, 6: 0.0020491803278688526}",109963.28599999996,73.50487032085559,55380.636999999966,73.54666268260287,753.0,204.3765040574077,199.3508523182912,46053.09829373951,23193.649554369505,1.0210077851484776,0.0,421.0,176.3166151806735,,3,POINT (139.744087 35.875246),1.0,9.0,3
1130514,1130514,南越谷,,,11305,11,343-0845,越谷市南越谷１丁目,139.790499,35.876106,0000-00-00,0000-00-00,0,1130514,504.0,1448.0,5.746031746031746,488.0,3.168650793650793,"{0: 0, 1: 16, 2: 0, 3: 373, 4: 113, 5: 2}","{0: 0.0, 1: 0.031746031746031744, 2: 0.0, 3: 0.7400793650793651, 4: 0.22420634920634921, 5: 0.003968253968253968}",97533.60899999992,67.35746477900547,50910.19799999995,67.34153174603168,756.0,207.58716578403343,200.9970970289848,40172.07432737714,20968.856572071345,1.020020585883101,0.0,328.0,135.09640947849795,,3,POINT (139.790499 35.876106),1.0,8.0,3
1130525,1130525,越谷レイクタウン,,,11305,11,343-0825,越谷市大成町５丁目,139.822178,35.876353,0000-00-00,0000-00-00,0,1130514,247.0,647.0,5.238866396761134,236.0,3.22672064777328,"{0: 0, 1: 11, 2: 2, 3: 158, 4: 73, 5: 2, 6: 1}","{0: 0.0, 1: 0.044534412955465584, 2: 0.008097165991902834, 3: 0.6396761133603239, 4: 0.29554655870445345, 5: 0.008097165991902834, 6: 0.004048582995951417}",59979.582,92.70414528593508,35950.71999999999,96.6417204301075,372.0,105.37159744998128,100.6789352153667,25587.62902721515,15336.780550109266,1.060357200735332,0.0030911901081916,192.0,81.90828627690851,,4,POINT (139.822178 35.876353),1.0,9.0,4
